County,District
Alameda,Alameda County Office of Education
Alameda,California School for the Blind (State Special Schl)
Alameda,California School for the Deaf-Fremont (State Special Schl)
Alameda,Alameda Unified
Alameda,Albany City Unified
Alameda,Berkeley Unified
Alameda,Castro Valley Unified
Alameda,Emery Unified
Alameda,Fremont Unified
Alameda,Hayward Unified
Alameda,Livermore Valley Joint Unified
Alameda,Mountain House Elementary
Alameda,Newark Unified
Alameda,New Haven Unified
Alameda,Oakland Unified
Alameda,Piedmont City Unified
Alameda,San Leandro Unified
Alameda,San Lorenzo Unified
Alameda,Tri-Valley ROP
Alameda,Eden Area ROP
Alameda,Mission Valley ROC/P
Alameda,Dublin Unified
Alameda,Pleasanton Unified
Alameda,Sunol Glen Unified
Alameda,SBE - Latitude 37.8 High
Alpine,Alpine County Office of Education
Alpine,Alpine County Unified
Amador,Amador County Office of Education
Amador,Amador County Unified
Amador,Amador County ROP
Butte,Butte County Office of Education
Butte,Bangor Union Elementary
Butte,Biggs Unified
Butte,Chico Unified
Butte,Durham Unified
Butte,Golden Feather Union Elementary
Butte,Manzanita Elementary
Butte,Oroville City Elementary
Butte,Oroville Union High
Butte,Palermo Union Elementary
Butte,Paradise Unified
Butte,Thermalito Union Elementary
Butte,Pioneer Union Elementary
Butte,Butte County ROP
Butte,Gridley Unified
Calaveras,Calaveras County Office of Education
Calaveras,Bret Harte Union High
Calaveras,Calaveras Unified
Calaveras,Mark Twain Union Elementary
Calaveras,Vallecito Union
Colusa,Colusa County Office of Education
Colusa,Colusa Unified
Colusa,Maxwell Unified
Colusa,Pierce Joint Unified
Colusa,Williams Unified
Contra Costa,Contra Costa County Office of Education
Contra Costa,Acalanes Union High
Contra Costa,Antioch Unified
Contra Costa,Brentwood Union Elementary
Contra Costa,Byron Union Elementary
Contra Costa,Canyon Elementary
Contra Costa,John Swett Unified
Contra Costa,Knightsen Elementary
Contra Costa,Lafayette Elementary
Contra Costa,Liberty Union High
Contra Costa,Martinez Unified
Contra Costa,Moraga Elementary
Contra Costa,Mt. Diablo Unified
Contra Costa,Oakley Union Elementary
Contra Costa,Orinda Union Elementary
Contra Costa,Pittsburg Unified
Contra Costa,West Contra Costa Unified
Contra Costa,San Ramon Valley Unified
Contra Costa,Walnut Creek Elementary
Contra Costa,Contra Costa County ROP
Contra Costa,SBE - John Henry High
Del Norte,Del Norte County Office of Education
Del Norte,Del Norte County Unified
Del Norte,Del Norte County ROP
El Dorado,El Dorado County Office of Education
El Dorado,Buckeye Union Elementary
El Dorado,Camino Union Elementary
El Dorado,El Dorado Union High
El Dorado,Gold Oak Union Elementary
El Dorado,Gold Trail Union Elementary
El Dorado,Indian Diggings Elementary
El Dorado,Lake Tahoe Unified
El Dorado,Latrobe
El Dorado,Mother Lode Union Elementary
El Dorado,Pioneer Union Elementary
El Dorado,Placerville Union Elementary
El Dorado,Pollock Pines Elementary
El Dorado,Rescue Union Elementary
El Dorado,Silver Fork Elementary
El Dorado,Black Oak Mine Unified
El Dorado,Central Sierra ROP
Fresno,Fresno County Office of Education
Fresno,Alvina Elementary
Fresno,Big Creek Elementary
Fresno,Burrel Union Elementary
Fresno,Clay Joint Elementary
Fresno,Clovis Unified
Fresno,Coalinga-Huron Unified
Fresno,Fowler Unified
Fresno,Fresno Unified
Fresno,Kingsburg Elementary Charter
Fresno,Kingsburg Joint Union High
Fresno,Kings Canyon Joint Unified
Fresno,Laton Joint Unified
Fresno,Monroe Elementary
Fresno,Orange Center
Fresno,Pacific Union Elementary
Fresno,Parlier Unified
Fresno,Pine Ridge Elementary
Fresno,Raisin City Elementary
Fresno,Sanger Unified
Fresno,Selma Unified
Fresno,Washington Colony Elementary
Fresno,West Park Elementary
Fresno,Westside Elementary
Fresno,Firebaugh-Las Deltas Unified
Fresno,Central Unified
Fresno,Kerman Unified
Fresno,Valley ROP
Fresno,Fresno ROP
Fresno,Mendota Unified
Fresno,Golden Plains Unified
Fresno,Sierra Unified
Fresno,Riverdale Joint Unified
Fresno,Caruthers Unified
Fresno,Washington Unified
Glenn,Glenn County Office of Education
Glenn,Capay Joint Union Elementary
Glenn,Lake Elementary
Glenn,Plaza Elementary
Glenn,Princeton Joint Unified
Glenn,Stony Creek Joint Unified
Glenn,Willows Unified
Glenn,Glenn County ROP
Glenn,Orland Joint Unified
Glenn,Hamilton Unified
Humboldt,Humboldt County Office of Education
Humboldt,Arcata Elementary
Humboldt,Northern Humboldt Union High
Humboldt,Big Lagoon Union Elementary
Humboldt,Blue Lake Union Elementary
Humboldt,Bridgeville Elementary
Humboldt,Cuddeback Union Elementary
Humboldt,Cutten Elementary
Humboldt,Fieldbrook Elementary
Humboldt,Fortuna Union High
Humboldt,Freshwater Elementary
Humboldt,Garfield Elementary
Humboldt,Green Point Elementary
Humboldt,Hydesville Elementary
Humboldt,Jacoby Creek Elementary
Humboldt,Klamath-Trinity Joint Unified
Humboldt,Kneeland Elementary
Humboldt,Loleta Union Elementary
Humboldt,Maple Creek Elementary
Humboldt,McKinleyville Union Elementary
Humboldt,Orick Elementary
Humboldt,Pacific Union Elementary
Humboldt,Peninsula Union
Humboldt,Rio Dell Elementary
Humboldt,Scotia Union Elementary
Humboldt,South Bay Union Elementary
Humboldt,Southern Humboldt Joint Unified
Humboldt,Trinidad Union Elementary
Humboldt,Humboldt County ROP
Humboldt,Ferndale Unified
Humboldt,Mattole Unified
Humboldt,Eureka City Schools
Humboldt,Fortuna Elementary
Imperial,Imperial County Office of Education
Imperial,Brawley Elementary
Imperial,Brawley Union High
Imperial,Calexico Unified
Imperial,Calipatria Unified
Imperial,Central Union High
Imperial,El Centro Elementary
Imperial,Heber Elementary
Imperial,Holtville Unified
Imperial,Imperial Unified
Imperial,Magnolia Union Elementary
Imperial,McCabe Union Elementary
Imperial,Meadows Union Elementary
Imperial,Mulberry Elementary
Imperial,San Pasqual Valley Unified
