Rank,School District,Score,Expenditure for Public Elementary and Secondary Schools per Pupil,Income by School District
914,Vista Del Mar Union,415.6,"$66,708","$123,500"
913,Spencer Valley Elementary,357.8,"$66,067","$82,054"
912,Woodside Elementary,334.03,"$30,955","$250,000"
911,Sausalito Marin City,320.79,"$55,917","$107,220"
910,Bolinas-Stinson Union,307.61,"$55,711","$98,092"
909,Silver Fork Elementary,303.93,"$56,625","$90,385"
908,Big Sur Unified,297.53,"$62,625","$53,571"
907,Portola Valley Elementary,295.86,"$26,644","$243,269"
906,Hillsborough City Elementary,286.6,"$24,023","$250,000"
905,Montecito Union Elementary,275.18,"$34,177","$187,241"
904,Ross Elementary,255.97,"$22,120","$236,339"
903,Piedmont City Unified,239.21,"$17,097","$250,000"
902,Alpine County Unified,228.98,"$46,543","$85,750"
901,Jefferson Elementary - Paicines,223.09,"$40,800","$111,667"
900,Las Lomitas Elementary,215.1,"$24,290","$193,110"
899,Fort Ross Elementary,201.21,"$49,533","$48,333"
898,Montgomery Elementary,198.65,"$44,048","$75,469"
897,Desert Center Unified,196.49,"$51,179","$35,938"
896,Rancho Santa Fe Elementary,193.89,"$20,848","$194,929"
895,Saratoga Union Elementary,192.04,"$19,548","$200,391"
894,Menlo Park City Elementary,190.98,"$20,059","$196,856"
893,Los Altos Elementary,188.44,"$16,023","$216,306"
892,Orinda Union Elementary,185.14,"$12,638","$231,721"
891,Panoche Elementary,184.52,"$45,250","$58,125"
890,La Honda-Pescadero Unified,180.01,"$22,523","$175,268"
889,Reed Union Elementary,172.36,"$18,729","$189,474"
888,Cold Spring Elementary,170.21,"$25,789","$150,324"
887,Shoreline Unified,168.11,"$34,825","$100,729"
886,Palo Alto Unified,164.92,"$22,497","$163,697"
885,Mountain View-Los Altos Union High,160.62,"$21,936","$163,339"
884,Los Gatos-Saratoga Union High,152.9,"$16,636","$185,479"
883,Mountain House Elementary,151.64,"$33,733","$93,750"
882,Willow Grove Union Elementary,151.01,"$30,909","$108,250"
881,Lakeside Joint,149.57,"$28,568","$119,557"
880,Dehesa Elementary,148.84,"$30,277","$109,926"
879,San Carlos Elementary,143.39,"$14,602","$188,898"
878,Saint Helena Unified,132.25,"$28,918","$104,268"
877,Los Gatos Union Elementary,131.25,"$14,033","$182,500"
876,Mill Valley Elementary,128.24,"$16,255","$168,375"
875,Belridge Elementary,124.27,"$33,972","$71,250"
874,Ballard Elementary,123.76,"$15,671","$168,000"
873,Lafayette Elementary,123.03,"$12,084","$186,475"
872,Sequoia Union High,121.33,"$19,977","$143,257"
871,Del Mar Union Elementary,118.98,"$17,045","$156,995"
870,Fremont Union High,118.84,"$15,878","$163,082"
869,La Canada Unified,114.83,"$12,253","$179,211"
868,Cupertino Union,112.75,"$11,995","$178,967"
867,Ravendale-Termo Elementary,112.35,"$39,714","$31,518"
